#instr,trace_type,trace_name,NTH-ALL-1x,NTH-NOALL,NTH-NOL2C,NTH-NOL2C-NOLLC,NTH-NOLLC
1M,spec17,621.wrf_s-6673B.champsimtrace.xz,0.572891,0.568744,0.572891,0.572891,0.572891
1M,spec17,621.wrf_s-8065B.champsimtrace.xz,0.245528,0.243221,0.245291,0.245277,0.245549
1M,spec17,623.xalancbmk_s-10B.champsimtrace.xz,0.234965,0.232802,0.234625,0.232158,0.234617
1M,spec17,623.xalancbmk_s-165B.champsimtrace.xz,0.448739,0.448675,0.448739,0.448739,0.448739
1M,spec17,623.xalancbmk_s-202B.champsimtrace.xz,0.367809,0.367805,0.367809,0.367809,0.367809
1M,spec17,628.pop2_s-17B.champsimtrace.xz,1.16679,0.806855,1.16264,1.07394,1.10035
1M,spec17,641.leela_s-1083B.champsimtrace.xz,0.786911,0.764156,0.786226,0.782588,0.786911
1M,spec17,649.fotonik3d_s-10881B.champsimtrace.xz,0.509508,0.509128,0.509508,0.509508,0.509508
1M,spec17,649.fotonik3d_s-1176B.champsimtrace.xz,0.921232,0.916348,0.921232,0.921232,0.921232
1M,spec17,649.fotonik3d_s-7084B.champsimtrace.xz,0.739436,0.739399,0.739436,0.739436,0.739436
1M,spec17,649.fotonik3d_s-8225B.champsimtrace.xz,0.918836,0.912657,0.918836,0.918836,0.918836
1M,spec17,654.roms_s-1007B.champsimtrace.xz,1.17672,1.17356,1.17672,1.17672,1.17672
1M,spec17,654.roms_s-1070B.champsimtrace.xz,0.689804,0.689804,0.689804,0.689804,0.689804
1M,spec17,654.roms_s-1390B.champsimtrace.xz,0.478228,0.478202,0.478228,0.478228,0.478228
1M,spec17,654.roms_s-1613B.champsimtrace.xz,1.45106,1.44671,1.45106,1.45106,1.45106
1M,spec17,654.roms_s-293B.champsimtrace.xz,1.61428,1.61081,1.61428,1.61428,1.61428
1M,spec17,654.roms_s-294B.champsimtrace.xz,0.865373,0.863436,0.865373,0.865373,0.865373
1M,spec17,654.roms_s-523B.champsimtrace.xz,0.597658,0.597563,0.597658,0.597658,0.597658
1M,spec17,657.xz_s-2302B.champsimtrace.xz,0.689201,0.683257,0.689201,0.689201,0.689201
gmean,gmean,gmean,0.5981106086526328,0.47406968556743767,0.5808307725255988,0.4907586736336208,0.5493976800735985
